id,ts,provider,model,rate_per_m,source,is_measured,confidence,sample_tokens,sample_cost_usd,velocity,note
6507,1786947302.1801288,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6508,1786947302.198878,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6509,1786947302.4517624,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6510,1786947302.4517624,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6511,1786947302.4517624,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6512,1786947302.4517624,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6513,1786947302.4517624,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6514,1786947302.4570117,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6515,1786947302.180126,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6516,1786947302.180126,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6517,1786947602.3255353,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6518,1786947602.3452857,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6519,1786947602.58888,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6520,1786947602.58888,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6521,1786947602.58888,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6522,1786947602.58888,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6523,1786947602.58888,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6524,1786947602.5920012,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6525,1786947602.3255317,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6526,1786947602.3255317,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6527,1786947902.671363,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6528,1786947902.7118783,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6529,1786947902.9517944,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6530,1786947902.9517944,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6531,1786947902.9517944,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6532,1786947902.9517944,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6533,1786947902.9517944,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6534,1786947902.9539034,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
