id,ts,provider,response_received,response_valid,latency_ms,error_type,billed_tokens,actual_tokens,token_mismatch,model
99,2026-08-14T12:41:43.464498+00:00,friend,1,1,40824,none,2189,25,1,glm-5.3
100,2026-08-14T12:41:43.916183+00:00,friend,0,0,215,no_response,0,0,0,
101,2026-08-14T12:41:43.934903+00:00,friend,0,0,2,no_response,0,0,0,
102,2026-08-14T12:41:43.940376+00:00,friend,0,0,2,no_response,0,0,0,
103,2026-08-14T12:41:43.946270+00:00,friend,0,0,2,no_response,0,0,0,
104,2026-08-14T12:41:43.953393+00:00,friend,0,0,3,no_response,0,0,0,
105,2026-08-14T12:41:43.958710+00:00,friend,0,0,2,no_response,0,0,0,
106,2026-08-14T12:41:43.970333+00:00,friend,0,0,2,no_response,0,0,0,
107,2026-08-14T12:41:43.984564+00:00,friend,0,0,2,no_response,0,0,0,
108,2026-08-14T12:41:43.991897+00:00,friend,0,0,2,no_response,0,0,0,
109,2026-08-14T12:41:43.998400+00:00,friend,0,0,3,no_response,0,0,0,
110,2026-08-14T12:41:44.004236+00:00,friend,0,0,2,no_response,0,0,0,
111,2026-08-14T12:41:44.057358+00:00,friend,0,0,2,no_response,0,0,0,
112,2026-08-14T12:41:45.186688+00:00,friend,0,0,2,no_response,0,0,0,
113,2026-08-14T12:41:45.199191+00:00,friend,0,0,3,no_response,0,0,0,
114,2026-08-14T12:41:45.204701+00:00,friend,0,0,2,no_response,0,0,0,
115,2026-08-14T12:41:45.209743+00:00,friend,0,0,2,no_response,0,0,0,
116,2026-08-14T12:41:45.215887+00:00,friend,0,0,2,no_response,0,0,0,
117,2026-08-14T12:41:45.221677+00:00,friend,0,0,2,no_response,0,0,0,
118,2026-08-14T12:41:45.232930+00:00,friend,0,0,2,no_response,0,0,0,
119,2026-08-14T12:41:45.247244+00:00,friend,0,0,2,no_response,0,0,0,
120,2026-08-14T12:41:45.253309+00:00,friend,0,0,2,no_response,0,0,0,
121,2026-08-14T12:41:45.259864+00:00,friend,0,0,2,no_response,0,0,0,
122,2026-08-14T12:41:45.265670+00:00,friend,0,0,3,no_response,0,0,0,
123,2026-08-14T12:41:45.271758+00:00,friend,0,0,2,no_response,0,0,0,
124,2026-08-14T12:41:46.422350+00:00,friend,0,0,2,no_response,0,0,0,
125,2026-08-14T12:41:46.435178+00:00,friend,0,0,2,no_response,0,0,0,
126,2026-08-14T12:41:46.441129+00:00,friend,0,0,3,no_response,0,0,0,
127,2026-08-14T12:41:46.446830+00:00,friend,0,0,2,no_response,0,0,0,
128,2026-08-14T12:41:46.452481+00:00,friend,0,0,2,no_response,0,0,0,
129,2026-08-14T12:41:46.457617+00:00,friend,0,0,2,no_response,0,0,0,
130,2026-08-14T12:41:46.472474+00:00,friend,0,0,3,no_response,0,0,0,
131,2026-08-14T12:41:46.488649+00:00,friend,0,0,2,no_response,0,0,0,
132,2026-08-14T12:41:46.493984+00:00,friend,0,0,2,no_response,0,0,0,
133,2026-08-14T12:41:46.499655+00:00,friend,0,0,2,no_response,0,0,0,
134,2026-08-14T12:41:46.505887+00:00,friend,0,0,2,no_response,0,0,0,
135,2026-08-14T12:41:46.511342+00:00,friend,0,0,2,no_response,0,0,0,
136,2026-08-14T12:41:53.021825+00:00,friend,1,1,8871,none,308,0,0,glm-5.3
137,2026-08-14T12:41:53.121280+00:00,friend,1,1,7770,none,243,26,1,glm-5.3
138,2026-08-14T12:41:56.813966+00:00,friend,1,1,10183,none,305,0,0,glm-5.3
139,2026-08-14T12:42:07.735325+00:00,friend,1,1,9455,none,288,25,1,glm-5.3
140,2026-08-14T12:42:08.647238+00:00,friend,1,1,13987,none,663,41,1,glm-5.3
141,2026-08-14T12:42:11.325884+00:00,friend,1,1,10918,none,436,22,1,glm-5.3
142,2026-08-14T12:42:17.404601+00:00,friend,1,1,30824,none,2101,27,1,glm-5.3
143,2026-08-14T12:42:25.072648+00:00,friend,1,1,9370,none,288,29,1,glm-5.3
144,2026-08-14T12:42:26.776193+00:00,friend,1,1,9000,none,132,0,0,glm-5.3
145,2026-08-14T12:42:27.423389+00:00,friend,1,1,10466,none,299,0,0,glm-5.3
146,2026-08-14T12:42:28.239611+00:00,friend,1,1,12895,none,568,32,1,glm-5.3
147,2026-08-14T12:42:41.312653+00:00,friend,1,1,13758,none,594,45,1,glm-5.3
148,2026-08-14T12:42:42.330477+00:00,friend,1,1,15313,none,125,0,0,glm-5.3
149,2026-08-14T12:42:44.814106+00:00,friend,1,1,11174,none,327,0,0,glm-5.3
150,2026-08-14T12:42:54.386384+00:00,friend,1,1,21034,none,908,34,1,glm-5.3
151,2026-08-14T12:42:57.636344+00:00,friend,1,1,14991,none,502,38,1,glm-5.3
152,2026-08-14T12:42:59.265877+00:00,friend,1,1,14690,none,490,38,1,glm-5.3
153,2026-08-14T12:43:02.925638+00:00,friend,1,1,15334,none,642,37,1,glm-5.3
154,2026-08-14T12:43:10.121289+00:00,friend,1,1,11988,none,421,336,1,glm-5.3
155,2026-08-14T12:43:16.145066+00:00,friend,1,1,16636,none,906,42,1,glm-5.3
156,2026-08-14T12:43:29.654481+00:00,friend,1,1,25206,none,1237,55,1,glm-5.3
157,2026-08-14T12:43:37.539388+00:00,friend,0,0,4,no_response,0,0,0,
158,2026-08-14T12:43:37.557973+00:00,friend,0,0,4,no_response,0,0,0,
159,2026-08-14T12:43:37.566158+00:00,friend,0,0,3,no_response,0,0,0,
160,2026-08-14T12:43:37.573866+00:00,friend,0,0,4,no_response,0,0,0,
161,2026-08-14T12:43:37.583575+00:00,friend,0,0,4,no_response,0,0,0,
162,2026-08-14T12:43:37.593268+00:00,friend,0,0,4,no_response,0,0,0,
163,2026-08-14T12:43:37.616439+00:00,friend,0,0,4,no_response,0,0,0,
164,2026-08-14T12:43:37.639997+00:00,friend,0,0,3,no_response,0,0,0,
165,2026-08-14T12:43:37.647926+00:00,friend,0,0,3,no_response,0,0,0,
166,2026-08-14T12:43:37.654914+00:00,friend,0,0,3,no_response,0,0,0,
167,2026-08-14T12:43:37.661773+00:00,friend,0,0,2,no_response,0,0,0,
168,2026-08-14T12:43:37.668898+00:00,friend,0,0,3,no_response,0,0,0,
169,2026-08-14T12:43:38.591919+00:00,friend,1,1,39006,none,1889,1571,0,glm-5.3
170,2026-08-14T12:43:40.117691+00:00,friend,1,1,2394,none,66,0,0,glm-5.2
171,2026-08-14T12:43:41.493273+00:00,friend,0,0,4,no_response,0,0,0,
172,2026-08-14T12:43:41.516509+00:00,friend,0,0,4,no_response,0,0,0,
173,2026-08-14T12:43:41.530756+00:00,friend,0,0,4,no_response,0,0,0,
174,2026-08-14T12:43:41.539568+00:00,friend,0,0,4,no_response,0,0,0,
175,2026-08-14T12:43:41.549078+00:00,friend,0,0,5,no_response,0,0,0,
176,2026-08-14T12:43:41.557964+00:00,friend,0,0,4,no_response,0,0,0,
177,2026-08-14T12:43:41.584193+00:00,friend,0,0,7,no_response,0,0,0,
178,2026-08-14T12:43:44.685689+00:00,friend,1,1,21098,none,1030,37,1,glm-5.3
179,2026-08-14T12:43:51.529589+00:00,friend,1,1,8867,none,249,31,1,glm-5.2
180,2026-08-14T12:43:51.938433+00:00,friend,1,1,20653,none,794,41,1,glm-5.3
181,2026-08-14T12:43:55.233320+00:00,friend,1,1,3626,none,84,60,1,glm-5.2
182,2026-08-14T12:43:58.174507+00:00,friend,1,1,2860,none,56,8,1,glm-5.2
