id,ts,severity,category,title,detail,alerted,resolved
1669,1786854601.7249966,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1670,1786854601.7427647,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1671,1786854608.6027129,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1672,1786854608.603844,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1673,1786854608.6038744,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","172 calls / 9,735,228 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.28/24h. Top up routstrd if depleted.",1,0
1674,1786854608.6038938,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1675,1786855501.633529,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1676,1786855501.6499445,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1677,1786856402.2410228,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1678,1786856402.254616,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1679,1786856409.0588503,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1680,1786856409.0593941,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1681,1786856409.0594096,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","172 calls / 9,735,228 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.28/24h. Top up routstrd if depleted.",1,0
1682,1786856409.059432,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1683,1786857302.1313102,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1684,1786857302.146576,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1685,1786858202.0324116,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1686,1786858202.055167,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1687,1786858209.1903033,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1688,1786858209.1906247,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1689,1786858209.1906328,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","172 calls / 9,735,228 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.28/24h. Top up routstrd if depleted.",1,0
1690,1786858209.190638,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1691,1786859101.4829433,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1692,1786859101.496177,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1693,1786860001.8261673,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1694,1786860001.844773,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1695,1786860009.1039493,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1696,1786860009.104484,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1697,1786860009.1044989,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","172 calls / 9,735,228 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.28/24h. Top up routstrd if depleted.",1,0
1698,1786860009.1045084,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1699,1786860901.6611073,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1700,1786860901.673318,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1701,1786861802.0829644,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1702,1786861802.1309168,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1703,1786861809.3730357,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1704,1786861809.373594,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1705,1786861809.3736072,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","172 calls / 9,735,228 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.28/24h. Top up routstrd if depleted.",1,0
1706,1786861809.3736167,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1707,1786862701.8977284,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1708,1786862701.901385,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1709,1786863601.486093,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1710,1786863601.5098422,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1711,1786863608.8917377,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1712,1786863608.8920765,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1713,1786863608.8920841,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","172 calls / 9,735,228 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.28/24h. Top up routstrd if depleted.",1,0
1714,1786863608.8920896,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1715,1786864501.95548,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1716,1786864501.9895086,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1717,1786864955.3086977,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1718,1786865076.076287,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1719,1786865197.1473927,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1720,1786865317.025744,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1721,1786865402.2728908,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1722,1786865402.2926188,critical,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5.00 threshold. Top up to avoid service interruption.",1,0
1723,1786865409.7083921,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1724,1786865409.7087665,CRITICAL,api_low_balance,openrouter balance low: $4.30,"openrouter balance at $4.30, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1725,1786865409.7087753,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","173 calls / 9,752,231 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.29/24h. Top up routstrd if depleted.",1,0
1726,1786865409.7087805,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1727,1786865437.493353,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1728,1786865558.7458012,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1729,1786865559.5822737,WARN,key_backoff,friend server failure #2,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1730,1786865641.9997168,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1731,1786865680.4318535,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1732,1786865762.5325325,WARN,key_backoff,friend server failure #2,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1733,1786865800.9507594,WARN,key_backoff,friend server failure #3,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1734,1786865921.3961165,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1735,1786866041.6659558,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1736,1786866162.86039,WARN,key_backoff,friend server failure #2,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1737,1786866301.5577323,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1738,1786866301.587487,critical,api_low_balance,openrouter balance low: $4.09,"openrouter balance at $4.09, below $5.00 threshold. Top up to avoid service interruption.",1,0
1739,1786866301.587487,warning,api_burn_burst,openrouter burn burst: $0.2011 (z=560.7σ),"openrouter spend this interval ($0.2011) is 560.7σ above the rolling mean ($0.0000, σ=$0.0004). Possible runaway agent or expensive request.",1,0
1740,1786866301.587487,warning,api_expensive_request,openrouter expensive interval: $0.20,openrouter spend in last interval ($0.20) exceeds $0.10 threshold.,1,0
1741,1786867202.2222476,critical,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5.00 threshold. Top up to avoid service interruption.",1,0
1742,1786867202.231308,critical,api_low_balance,openrouter balance low: $4.09,"openrouter balance at $4.09, below $5.00 threshold. Top up to avoid service interruption.",1,0
1743,1786867209.2465127,CRITICAL,api_low_balance,ppq balance low: $0.02,"ppq balance at $0.02, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1744,1786867209.2478285,CRITICAL,api_low_balance,openrouter balance low: $4.09,"openrouter balance at $4.09, below $5 threshold. Top up to avoid service interruption. (data 5 min old)",1,0
1745,1786867209.2478638,WARN,cost_inefficiency,"Using openrouter for glm-5.2 ($0.97/M), routstrd cheaper ($0.53/M)","178 calls / 10,018,354 tokens on openrouter at $0.97/M. routstrd available at $0.53/M — potential savings $4.41/24h. Top up routstrd if depleted.",1,0
1746,1786867209.247887,WARN,cost_inefficiency,"Using telnyx for glm-5.2 ($2.15/M), routstrd cheaper ($0.53/M)","23 calls / 1,239,056 tokens on telnyx at $2.15/M. routstrd available at $0.53/M — potential savings $2.01/24h. Top up routstrd if depleted.",1,0
1747,1786867316.8573937,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1748,1786867728.4243705,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1749,1786867747.5593352,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1750,1786867849.1442776,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1751,1786867868.2580526,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
1752,1786867969.1424234,WARN,key_backoff,friend server failure #1,"{""detail"": ""backoff 30s; error_type=server"", ""key_name"": ""friend""}",1,0
