id,ts,provider_used,effective_price,next_best_price,savings_per_1m,estimated_tokens,estimated_savings_usd,is_peak_hour,mode
1558,1787173245.8493626,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,42612,0.0004101404999999986,0,consumer
1559,1787173252.3535955,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,55214,0.0005314347499999982,0,consumer
1560,1787173265.8008232,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,57836,0.0005566714999999981,0,consumer
1561,1787173276.3810706,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,59443,0.000572138874999998,0,consumer
1562,1787173279.761428,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,7946,7.648024999999975e-05,0,consumer
1563,1787173285.841312,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,60325,0.000580628124999998,0,consumer
1564,1787173297.611902,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,70706,0.0006805452499999977,0,consumer
1565,1787173303.3100796,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,63398,0.0006102057499999979,0,consumer
1566,1787173305.591449,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,71102,0.0006843567499999977,0,consumer
1567,1787173311.9838269,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,71372,0.0006869554999999976,0,consumer
1568,1787173318.3252912,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,73269,0.0007052141249999976,0,consumer
1569,1787173322.3715043,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,65080,0.0006263949999999978,0,consumer
1570,1787173328.9548926,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,75818,0.0007297482499999975,0,consumer
1571,1787173332.383942,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,65358,0.0006290707499999978,0,consumer
1572,1787173333.0965729,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,78638,0.0007568907499999974,0,consumer
1573,1787173337.1867378,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,79925,0.0007692781249999973,0,consumer
1574,1787173338.0688303,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,65740,0.0006327474999999978,0,consumer
1575,1787173342.4147558,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,66127,0.0006364723749999978,0,consumer
1576,1787173346.656883,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,84136,0.0008098089999999973,0,consumer
1577,1787173347.5089366,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,67259,0.0006473678749999977,0,consumer
1578,1787173350.4506168,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,84668,0.0008149294999999973,0,consumer
1579,1787173354.1688044,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,84868,0.0008168544999999972,0,consumer
1580,1787173357.893366,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,67973,0.0006542401249999977,0,consumer
1581,1787173358.0486562,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,85278,0.0008208007499999971,0,consumer
